Feature,All.Get.Out,Manchester.Orchestra,The.Front.Bottoms
overall_loudness,Within Range,Within Range,Outlying
spectral_energy,Within Range,Within Range,Within Range
danceability,Within Range,Within Range,Out of Range
tempo,Within Range,Within Range,Within Range
duration,Within Range,Within Range,Within Range
zerocrossingrate,Within Range,Within Range,Out of Range
spectral_strongpeak,Within Range,Within Range,Within Range
spectral_spread,Out of Range,Within Range,Within Range
spectral_skewness,Outlying,Within Range,Out of Range
spectral_rolloff,Out of Range,Within Range,Out of Range
spectral_rms,Within Range,Within Range,Within Range
spectral_kurtosis,Outlying,Within Range,Out of Range
spectral_flux,Within Range,Within Range,Within Range
spectral_entropy,Outlying,Within Range,Out of Range
spectral_energyband_middle_low,Within Range,Within Range,Within Range
spectral_energyband_middle_high,Out of Range,Within Range,Out of Range
spectral_energyband_low,Within Range,Within Range,Within Range
spectral_energyband_high,Within Range,Within Range,Within Range
spectral_decrease,Within Range,Within Range,Within Range
spectral_complexity,Out of Range,Within Range,Out of Range
spectral_centroid,Out of Range,Within Range,Out of Range
silence_rate_60dB,Within Range,Within Range,Outlying
silence_rate_30dB,Within Range,Within Range,Within Range
silence_rate_20dB,Within Range,Within Range,Within Range
pitch_salience,Within Range,Within Range,Within Range
melbands_spread,Out of Range,Within Range,Out of Range
melbands_skewness,Outlying,Within Range,Within Range
melbands_kurtosis,Out of Range,Outlying,Outlying
melbands_flatness_db,Out of Range,Within Range,Out of Range
melbands_crest,Within Range,Within Range,Within Range
loudness_ebu128_short_term,Within Range,Within Range,Out of Range
loudness_ebu128_momentary,Within Range,Within Range,Out of Range
loudness_ebu128_loudness_range,Within Range,Within Range,Out of Range
hfc,Within Range,Within Range,Out of Range
erbbands_spread,Within Range,Within Range,Within Range
erbbands_skewness,Out of Range,Within Range,Out of Range
erbbands_kurtosis,Out of Range,Outlying,Out of Range
erbbands_flatness_db,Outlying,Within Range,Out of Range
dynamic_complexity,Within Range,Within Range,Outlying
dissonance,Outlying,Within Range,Out of Range
barkbands_spread,Within Range,Within Range,Out of Range
barkbands_skewness,Out of Range,Within Range,Out of Range
barkbands_kurtosis,Out of Range,Within Range,Out of Range
barkbands_flatness_db,Outlying,Within Range,Out of Range
barkbands_crest,Within Range,Within Range,Within Range
average_loudness,Outlying,Within Range,Outlying
beats_count,Within Range,Within Range,Within Range
beats_loudness,Within Range,Within Range,Within Range
bpm_histogram_first_peak_bpm,Within Range,Within Range,Within Range
bpm_histogram_first_peak_weight,Within Range,Within Range,Within Range
bpm_histogram_second_peak_bpm,Within Range,Within Range,Within Range
bpm_histogram_second_peak_spread,Within Range,Within Range,Within Range
bpm_histogram_second_peak_weight,Within Range,Within Range,Within Range
onset_rate,Within Range,Within Range,Out of Range
tuning_nontempered_energy_ratio,Within Range,Within Range,Within Range
tuning_frequency,Within Range,Within Range,Within Range
tuning_equal_tempered_deviation,Within Range,Within Range,Within Range
tuning_diatonic_strength,Within Range,Within Range,Within Range
hpcp_entropy,Within Range,Within Range,Within Range
hpcp_crest,Within Range,Within Range,Within Range
chords_strength,Outlying,Within Range,Out of Range
chords_number_rate,Within Range,Within Range,Within Range
chords_changes_rate,Within Range,Within Range,Within Range
approachability,Within Range,Within Range,Within Range
engagement,Outlying,Within Range,Within Range
valence,Within Range,Within Range,Out of Range
arousal,Within Range,Within Range,Within Range
model_danceability,Within Range,Within Range,Within Range
aggressive,Within Range,Within Range,Within Range
happy,Within Range,Within Range,Within Range
party,Within Range,Within Range,Within Range
relax,Within Range,Within Range,Within Range
sad,Within Range,Within Range,Within Range
acoustic,Within Range,Within Range,Within Range
electronic,Within Range,Within Range,Within Range
instrumental,Within Range,Within Range,Within Range
timbreBright,Within Range,Within Range,Within Range
WC,Within Range,Within Range,Within Range
Analytic,Outlying,Outlying,Out of Range
